date,temperature_2m,hour,day,month,year,season,day_of_week,is_weekend
2022-01-01 05:00:00+00:00,0.08124021058820069,5,1,1,2022,Winter,Saturday,1
2022-01-01 06:00:00+00:00,0.08124021058820069,6,1,1,2022,Winter,Saturday,1
2022-01-01 07:00:00+00:00,0.08739141420236407,7,1,1,2022,Winter,Saturday,1
2022-01-01 08:00:00+00:00,0.10584477899917029,8,1,1,2022,Winter,Saturday,1
2022-01-01 09:00:00+00:00,0.1119959211019128,9,1,1,2022,Winter,Saturday,1
2022-01-01 10:00:00+00:00,0.13660048951288237,10,1,1,2022,Winter,Saturday,1
2022-01-01 11:00:00+00:00,0.14890283522978826,11,1,1,2022,Winter,Saturday,1
2022-01-01 12:00:00+00:00,0.17965854574350038,12,1,1,2022,Winter,Saturday,1
2022-01-01 13:00:00+00:00,0.21041425625721247,13,1,1,2022,Winter,Saturday,1
2022-01-01 14:00:00+00:00,0.2042630526430491,14,1,1,2022,Winter,Saturday,1
2022-01-01 15:00:00+00:00,0.1119959211019128,15,1,1,2022,Winter,Saturday,1
2022-01-01 16:00:00+00:00,0.025879993174939876,16,1,1,2022,Winter,Saturday,1
2022-01-01 17:00:00+00:00,-0.017178063055678112,17,1,1,2022,Winter,Saturday,1
2022-01-01 18:00:00+00:00,-0.0725383419803598,18,1,1,2022,Winter,Saturday,1
2022-01-01 19:00:00+00:00,-0.06023593475203304,19,1,1,2022,Winter,Saturday,1
2022-01-01 20:00:00+00:00,-0.12174735577945724,20,1,1,2022,Winter,Saturday,1
2022-01-01 21:00:00+00:00,-0.15250306629316934,21,1,1,2022,Winter,Saturday,1
2022-01-01 22:00:00+00:00,-0.2017123261379507,22,1,1,2022,Winter,Saturday,1
2022-01-01 23:00:00+00:00,-0.23861917875440508,23,1,1,2022,Winter,Saturday,1
2022-01-02 00:00:00+00:00,-0.1463520472132688,0,2,1,2022,Winter,Sunday,1
2022-01-02 01:00:00+00:00,-0.2324680366516628,1,2,1,2022,Winter,Sunday,1
2022-01-02 02:00:00+00:00,-0.2755259083480177,2,2,1,2022,Winter,Sunday,1
2022-01-02 03:00:00+00:00,-0.31243288398731417,3,2,1,2022,Winter,Sunday,1
2022-01-02 04:00:00+00:00,-0.3185840260900566,4,2,1,2022,Winter,Sunday,1
2022-01-02 05:00:00+00:00,-0.293979457679087,5,2,1,2022,Winter,Sunday,1
2022-01-02 06:00:00+00:00,-0.3308863102955415,6,2,1,2022,Winter,Sunday,1
2022-01-02 07:00:00+00:00,-0.2878283155763445,7,2,1,2022,Winter,Sunday,1
2022-01-02 08:00:00+00:00,-0.1648054735214961,8,2,1,2022,Winter,Sunday,1
2022-01-02 09:00:00+00:00,-0.03563142785248432,9,2,1,2022,Winter,Sunday,1
2022-01-02 10:00:00+00:00,-0.011026920952935603,10,2,1,2022,Winter,Sunday,1
2022-01-02 11:00:00+00:00,-0.017178063055678112,11,2,1,2022,Winter,Sunday,1
2022-01-02 12:00:00+00:00,0.1612050579238522,12,2,1,2022,Winter,Sunday,1
2022-01-02 13:00:00+00:00,0.07508906848545818,13,2,1,2022,Winter,Sunday,1
2022-01-02 14:00:00+00:00,0.04433335797174608,14,2,1,2022,Winter,Sunday,1
2022-01-02 15:00:00+00:00,0.025879993174939876,15,2,1,2022,Winter,Sunday,1
2022-01-02 16:00:00+00:00,-0.011026920952935603,16,2,1,2022,Winter,Sunday,1
2022-01-02 17:00:00+00:00,-0.011026920952935603,17,2,1,2022,Winter,Sunday,1
2022-01-02 18:00:00+00:00,0.08124021058820069,18,2,1,2022,Winter,Sunday,1
2022-01-02 19:00:00+00:00,0.025879993174939876,19,2,1,2022,Winter,Sunday,1
2022-01-02 20:00:00+00:00,-0.029480224238320942,20,2,1,2022,Winter,Sunday,1
2022-01-02 21:00:00+00:00,-0.04793377356939021,21,2,1,2022,Winter,Sunday,1
2022-01-02 22:00:00+00:00,-0.03563142785248432,22,2,1,2022,Winter,Sunday,1
2022-01-02 23:00:00+00:00,-0.15250306629316934,23,2,1,2022,Winter,Sunday,1
2022-01-03 00:00:00+00:00,-0.2017123261379507,0,3,1,2022,Winter,Monday,0
2022-01-03 01:00:00+00:00,-0.18940998042104482,1,3,1,2022,Winter,Monday,0
2022-01-03 02:00:00+00:00,-0.21401448732059353,2,3,1,2022,Winter,Monday,0
2022-01-03 03:00:00+00:00,-0.1278985593936206,3,3,1,2022,Winter,Monday,0
2022-01-03 04:00:00+00:00,-0.2201656909347569,4,3,1,2022,Winter,Monday,0
2022-01-03 05:00:00+00:00,-0.23861917875440508,5,3,1,2022,Winter,Monday,0
